trial,objective,won,won_vs_all,won_vs_benchmarks,sharpe,final_nav_eur,max_drawdown,holdout_sharpe,holdout_final_nav_eur,holdout_max_drawdown,psr,holdout_psr,timestamp
25,29509.76301591054,True,True,True,1.4955004766271542,29509.76301591054,-0.34674802731156773,0.7074698894814858,57058.70757693708,-0.4005544299556757,0.9995056717403172,0.8876858436594256,2026-06-20 15:44:46.852310
26,29406.95639024872,True,True,True,1.497072402756178,29406.95639024872,-0.34649173032208147,0.6892105766214994,55989.43023185532,-0.4100260768168521,0.9995112870110592,0.8818002119665762,2026-06-20 15:44:59.825498
27,27260.24626351215,True,True,True,1.4184320655147156,27260.24626351215,-0.35075962608845146,0.6094199183615064,49344.53990871654,-0.4484045446165016,0.9991214831021413,0.8529261377427912,2026-06-20 15:45:10.633442
28,29377.781047599667,True,True,True,1.4537004713871582,29377.781047599667,-0.34436040376328825,0.6137626538551649,52515.94082993782,-0.4181946164505784,0.9993178159104643,0.8543138356850086,2026-06-20 15:45:20.651412
29,27303.353316289944,True,True,True,1.4489467160433362,27303.353316289944,-0.31469335994315994,0.7075819271158206,54158.402029968966,-0.37062410877717367,0.999289303890699,0.8879109201785261,2026-06-20 15:45:29.428296
30,20672.507106211924,False,False,True,1.2127463121270896,20672.507106211924,-0.3186602913251074,0.43948820768151503,33565.29270871218,-0.39411870061682663,0.9959964784367888,0.7754072317140228,2026-06-20 15:45:37.451298
31,25911.016481059774,True,True,True,1.409877631007025,25911.016481059774,-0.32911395763467777,0.7033221912979201,51650.879148459426,-0.382456583703095,0.9990556726198256,0.8865551373934605,2026-06-20 15:45:46.467563
32,28802.242085449056,True,True,True,1.467312335853393,28802.242085449056,-0.34758280030862443,0.6857656626789778,54909.71616461922,-0.41184473020396073,0.9993830561002127,0.8805155645931149,2026-06-20 15:45:59.306965
33,29363.34809237591,True,True,True,1.490201167136436,29363.34809237591,-0.3470513103394657,0.6890047275459327,56081.533704418856,-0.40297078922067564,0.9994850142094989,0.8816332055680984,2026-06-20 15:46:14.208867
34,28440.424950949448,True,True,True,1.4400557293289786,28440.424950949448,-0.3446686547261578,0.6072456635747747,51192.35634747935,-0.43346425364311725,0.9992441040326756,0.8520316927481699,2026-06-20 15:46:28.228422
35,29273.029627124924,True,True,True,1.4827010676765107,29273.029627124924,-0.3441887657879543,0.5665265812868745,50808.93619094367,-0.45769797688188085,0.9994549446591675,0.8354051646524525,2026-06-20 15:46:38.790914
36,28380.946028372553,True,True,True,1.4279804774064544,28380.946028372553,-0.34817151027616666,0.624684998123185,51342.74541651379,-0.4121327094783499,0.9991697689946334,0.8584835982239614,2026-06-20 15:46:55.248151
37,27452.354886472498,True,True,True,1.4449200053677802,27452.354886472498,-0.34677911053147126,0.6973494026351335,52806.90500766711,-0.36930687468056667,0.9992718696729778,0.8845040351071767,2026-06-20 15:47:07.169789
38,28678.911596935817,True,True,True,1.437651690806797,28678.911596935817,-0.34699563282138113,0.6518482217727849,53302.632945656755,-0.3952693629911689,0.9992278479091046,0.8689364760497017,2026-06-20 15:47:22.414708
39,24824.855716586862,True,True,True,1.384445210096143,24824.855716586862,-0.31528161920322306,0.528429515472016,42383.224082347966,-0.3792937201529467,0.9988465825274122,0.8186424451231744,2026-06-20 15:47:30.227950
40,26198.455119736227,True,True,True,1.3880008119221847,26198.455119736227,-0.3467718109646334,0.6921661148161622,50802.98569357999,-0.3954560824311919,0.9989023316718505,0.8827632554262334,2026-06-20 15:47:40.295632
41,23285.12314255688,True,True,True,1.3182540520892843,23285.12314255688,-0.2996738145928928,0.7260074060214036,47928.77668129796,-0.3595163180689285,0.9981333269992199,0.8938469367692617,2026-06-20 15:47:47.448837
42,29278.31642737804,True,True,True,1.4510258192508825,29278.31642737804,-0.3445420626245397,0.6872544369296217,56364.73608517023,-0.387457212056737,0.9993036361225929,0.8810905736792101,2026-06-20 15:47:58.192898
43,29106.97316154471,True,True,True,1.4626832656797115,29106.97316154471,-0.34664770532892386,0.4861429578202784,46597.064941983925,-0.4490369392711633,0.9993624365300676,0.7992766475937236,2026-06-20 15:48:09.188415
44,29582.594689989033,True,True,True,1.4915349880448356,29582.594689989033,-0.3451991476248011,0.6993778996545723,57463.51559148915,-0.40217957590546727,0.9994893904408413,0.88518540048103,2026-06-20 15:48:18.613848
45,28276.262320959977,True,True,True,1.403783256922414,28276.262320959977,-0.34563099190898494,0.6824740888893217,55430.65753446487,-0.4176468719722175,0.999007008425373,0.8798577872167146,2026-06-20 15:48:27.766837
46,28540.18416498222,True,True,True,1.4152380267859854,28540.18416498222,-0.34483816194206995,0.71663393312182,55999.119222329144,-0.3887836274652636,0.9990847456795907,0.8906783710776331,2026-06-20 15:48:35.946810
47,23151.9586064217,True,True,True,1.323936096774925,23151.9586064217,-0.33873967826241624,0.5483975030265242,40481.68828976999,-0.41122496059144564,0.9980810853205213,0.8274575771262189,2026-06-20 15:48:45.047784
48,28707.88563981103,True,True,True,1.4568520333906867,28707.88563981103,-0.3469328582986664,0.6825840408317819,54828.478762682294,-0.42475558180558637,0.9993318453921919,0.8795135110360521,2026-06-20 15:48:55.216141
49,27911.053878456747,True,True,True,1.4049656002824198,27911.053878456747,-0.34484182980833267,0.5848917748110094,49683.1120954386,-0.4464146537972943,0.9990121050366152,0.8429554691946474,2026-06-20 15:49:13.719500
50,26872.107304749312,True,True,True,1.4421702183917942,26872.107304749312,-0.3489882274907228,0.6756951968120499,51404.07835437277,-0.4208267687614424,0.9992571352112135,0.8770508320837374,2026-06-20 15:49:25.490360
51,25466.39868882202,True,True,True,1.423014446795586,25466.39868882202,-0.3343729662388869,0.6059744095022187,45963.77941705523,-0.44003587921729415,0.9991342375614918,0.8519152692061157,2026-06-20 16:18:18.814338
52,29652.037129307948,True,True,True,1.5099561669925892,29652.037129307948,-0.34416351703700787,0.7084058838347788,58026.48124685245,-0.3897994729144081,0.9995609865866799,0.8880065302328122,2026-06-20 16:18:29.955018
53,29471.1930429741,True,True,True,1.486002411779114,29471.1930429741,-0.34607162462971264,0.6857384584842827,56409.77632377557,-0.3878209172934892,0.9994669207279525,0.8806327253272793,2026-06-20 16:18:39.388369
54,29422.541018522006,True,True,True,1.464953598589682,29422.541018522006,-0.3451297191141718,0.6180122668669483,53684.947227128636,-0.4179270120227936,0.9993767238224693,0.8563488145280265,2026-06-20 16:18:47.513441
55,30145.25022815988,True,True,True,1.5109888653176218,30145.25022815988,-0.344470149206795,0.5430596617003878,50306.608514707346,-0.3872075869502961,0.9995639739084782,0.8255934122772663,2026-06-20 16:19:11.924506
56,28835.307769180992,True,True,True,1.450087303057419,28835.307769180992,-0.34416023033036147,0.5348433417700089,48667.71350779241,-0.47563141870030046,0.9992994801765095,0.8215395988538339,2026-06-20 16:19:24.087718
57,22134.751368095083,False,False,True,1.2766830368111346,22134.751368095083,-0.3373404762554779,0.6404278761818201,42160.589085794134,-0.35357738504680736,0.9973850296703898,0.8645826173188436,2026-06-20 16:19:35.648142
58,29394.875410354136,True,True,True,1.4751592411000534,29394.875410354136,-0.3470556687392803,0.4698375564540588,46335.53981021352,-0.48486069212409644,0.9994200845389998,0.7911410744496792,2026-06-20 16:19:51.617707
59,29242.882514543744,True,True,True,1.4665832650233745,29242.882514543744,-0.34750655221876725,0.6537427045575538,53885.52176608489,-0.4028732060043174,0.9993804215230966,0.8696866931032846,2026-06-20 16:20:05.632834
60,28979.857845477767,True,True,True,1.4851488096225791,28979.857845477767,-0.3497502416958034,0.7148513236542391,55947.90302027224,-0.37903582350722054,0.9994664304117333,0.8904087300669221,2026-06-20 16:20:21.885047
61,28966.447569429347,True,True,True,1.4560208502798309,28966.447569429347,-0.3464698664408523,0.6298803183567688,52878.078848044905,-0.44965971266844895,0.9993275975292794,0.8605154960376631,2026-06-20 16:20:41.233602
62,29830.056612270553,True,True,True,1.506005704414323,29830.056612270553,-0.34530282122475153,0.7170553675211423,58614.01468896447,-0.38184503814877446,0.9995458579420718,0.8908814734402009,2026-06-20 16:20:53.319408
63,29408.533253942715,True,True,True,1.4457947322381288,29408.533253942715,-0.34378829950093437,0.6014867049328849,52774.931841210935,-0.43836996497189085,0.9992770555898337,0.849819250218813,2026-06-20 16:21:04.311495
64,29127.64071289065,True,True,True,1.4760661988147323,29127.64071289065,-0.34501183533172397,0.6035680208543424,52130.05958596718,-0.4638827370568328,0.9994255780318074,0.8505386312709393,2026-06-20 16:21:13.743383
65,29404.517331895408,True,True,True,1.47984888010688,29404.517331895408,-0.34464179501246484,0.7038813766140423,56896.14129495762,-0.40538060191163117,0.9994404828900677,0.8865649514671567,2026-06-20 16:21:25.378369
66,29130.4894532767,True,True,True,1.4674205241081257,29130.4894532767,-0.3471877478417159,0.667363538371007,55144.210175105596,-0.4203894830697067,0.9993856971426526,0.8742459529721354,2026-06-20 16:21:33.806589
67,23961.144073706695,True,True,True,1.3981756093978934,23961.144073706695,-0.30182848816607966,0.7723065324896534,50247.31771292462,-0.3189997164136146,0.9989911894214463,0.9073585738593082,2026-06-20 16:21:48.747319
68,29323.753464573972,True,True,True,1.474297525714063,29323.753464573972,-0.3463776626013374,0.6743905981205137,55184.51942645398,-0.3836967537767053,0.9994160795103613,0.877052490483847,2026-06-20 16:21:57.142082
69,28968.525927031184,True,True,True,1.4601685124227104,28968.525927031184,-0.3464068494748135,0.5832873266567162,51330.718233753,-0.4159284589404536,0.9993453048344219,0.8425371809830382,2026-06-20 16:22:04.817477
70,29071.336077488333,True,True,True,1.4641352417030271,29071.336077488333,-0.34434856016046933,0.541656097716855,49187.67326245328,-0.460785073305497,0.9993678659855237,0.8244611820185227,2026-06-20 16:22:13.060182
71,28910.804924014803,True,True,True,1.4281875408461882,28910.804924014803,-0.34403289133442927,0.732814498133688,57098.850622662234,-0.3955462501443998,0.9991720035935355,0.8956712965587252,2026-06-20 16:22:21.506202
72,29966.086094899016,True,True,True,1.5126571175588492,29966.086094899016,-0.3446662758173634,0.5882589173515211,53043.97867834808,-0.4460694835856326,0.9995706521304627,0.8444426944178115,2026-06-20 16:22:30.897690
73,29357.591984694223,True,True,True,1.4485018881553768,29357.591984694223,-0.3445739758637306,0.7067170913182534,57273.585646808766,-0.3995939705947785,0.9992916561175893,0.887539064888506,2026-06-20 16:22:39.959512
74,28445.256898796037,True,True,True,1.441337791787024,28445.256898796037,-0.34664728032348224,0.6432477030354717,52244.37359063648,-0.41750668676903946,0.9992479257191305,0.8655307808408315,2026-06-20 16:22:50.935353
75,29883.020712854108,True,True,True,1.5106164721325,29883.020712854108,-0.344070157076254,0.5990282450202926,53292.478541939156,-0.45868507795106406,0.9995622432058123,0.8487902510538547,2026-06-20 16:22:59.175060
